Title,Year,Genres,Language,Director,Score,soup
Harry Potter and the Goblet of Fire,2005,Adventure Fantasy Family,English,Mike Newell,7.79,basedonnovelorbook magic dyinganddeath broom schoolofwitchcraft chosenone blackmagic boardingschool vision tournament teenager wizard teenagehero basedonyoungadultnovel wizardingworld adventurefantasyfamily mikenewell danielradcliffe rupertgrint emmawatson ralphfiennes
Harry Potter and the Deathly Hallows: Part 1,2010,Adventure Fantasy,English,David Yates,7.79,corruption isolation radio magic teleportation bravery tension attack werewolf basedonyoungadultnovel wizardingworld adventurefantasy davidyates danielradcliffe emmawatson rupertgrint michaelgambon
"Monsters, Inc",2001,Animation Comedy Family,English,Pete Docter,7.79,monster cheating kidnapping infant villain panic energysupply company portal friends rivalry hijinks bestfriend scream chameleon family parallelworld conveyorbelt invisibility energycompany conspirators animationcomedyfamily petedocter johngoodman billycrystal marygibbs stevebuscemi
Central Station,1998,Drama,Portuguese,Walter Salles,7.79,brazilian riodejaneiro letter wilderness teacher railroad alcoholic missingparent longlostrelative realism drama waltersalles fernandamontenegro viníciusdeoliveira maríliapêra othonbastos
Big Hero 6,2014,Adventure Family Animation Action Comedy,English,Chris Williams,7.79,siblingrelationship hero talent friendship revenge bestfriend anotherdimension robot boygenius hate aftercreditsstinger moraldilemma 3d teensuperhero deadbrother adventurefamilyanimationactioncomedy chriswilliams scottadsit ryanpotter danielhenney t.j.miller
My Name is Khan,2010,Drama Romance,Hindi,Karan Johar,7.79,"autism ""aspergerssyndrome"" dramaromance karanjohar shahrukhkhan kajol jimmyshergill zarinawahab"
Rio Bravo,1959,Western Drama,English,Howard Hawks,7.79,sheriff smalltown gun marshal texas deputy murder jail alcoholic stagecoach gambler cripple basedonshortstory gunfighter twogunsbelt westerndrama howardhawks johnwayne deanmartin rickynelson walterbrennan
13th,2016,Documentary,English,Ava DuVernay,7.79,suicide prison cocaine slavery politics crack murder conspiracy race illegaldrugs womandirector americanhistory statistics africanamericanhistory documentary avaduvernay jelanicobb angeladavis henrylouisgates jr.
A Taxi Driver,2017,Drama History Action,Korean,Jang Hoon,7.79,taxi taxidriver protest basedonatruestory democracy historicalevent gwangjuuprising gwangju democratizationmovement dramahistoryaction janghoon songkangho thomaskretschmann yoohaejin ryujunyeol
Toy Story 3,2010,Animation Family Comedy,English,Lee Unkrich,7.79,hostage college toy escape daycare teddybear duringcreditsstinger toycomestolife personification inanimateobjectscomingtolife animationfamilycomedy leeunkrich tomhanks timallen joancusack nedbeatty
Persepolis,2007,Animation Drama,French,Vincent Paronnaud,7.79,civilwar parentchildrelationship 1970s puberty totalitarianregime punk bombalarm war adultanimation punkband womandirector iranianrevolution animationdrama vincentparonnaud chiaramastroianni danielledarrieux catherinedeneuve simonabkarian
Roman Holiday,1953,Comedy Romance Drama,English,William Wyler,7.79,rome italy secretidentity boat dance intelligence forbiddenlove embassy duty sightseeing photography trevifountain comedyromancedrama williamwyler gregorypeck audreyhepburn eddiealbert hartleypower
How to Train Your Dragon,2010,Fantasy Adventure Animation Family,English,Chris Sanders,7.79,flying blacksmith arena island ship training village forest viking friendship ignorance flight nest dragon battle combat well warrior fantasyadventureanimationfamily chrissanders jaybaruchel gerardbutler craigferguson americaferrera
"Rome, Open City",1945,Drama History,Italian,Roberto Rossellini,7.79,rome italy resistance fascism drugaddiction curfew deserter nazi neorealism italianneorealism dramahistory robertorossellini aldofabrizi annamagnani marcellopagliero francescograndjacquet
Donnie Darko,2001,Fantasy Drama Mystery,English,Richard Kelly,7.78,parentchildrelationship halloween airplane timetravel loss schoolperformance imaginaryfriend surrealism suburbia vision teenager cultfilm mentalillness virginia sleepwalking 1980s paralleluniverse fantasydramamystery richardkelly jakegyllenhaal jenamalone patrickswayze maggiegyllenhaal
The Bridge on the River Kwai,1957,Drama History War,English,David Lean,7.78,japan basedonnovelorbook resistance river worldwarii prisonerofwar thailand bridge officer burma bridgeblowup dramahistorywar davidlean williamholden alecguinness jackhawkins sessuehayakawa
Me Before You,2016,Drama Romance,English,Thea Sharrock,7.78,england basedonnovelorbook depression smalltown wheelchair caretaker caregiver disabled twentysomething womandirector deadendjob accident dramaromance theasharrock emiliaclarke samclaflin janetmcteer charlesdance
Into the Wild,2007,Adventure Drama,English,Sean Penn,7.78,parentchildrelationship camping self-discovery wilderness biography basedonatruestory alaska journey adventuredrama seanpenn emilehirsch marciagayharden williamhurt jenamalone
A Beautiful Mind,2001,Drama Romance,English,Ron Howard,7.78,"individual schizophrenia usa massachusetts ""loveofoneslife"" intelligence mathematician marketeconomy economictheory princetonuniversity nobelprize mathematicaltheorem m.i.t. biography mathematics delusion dramaromance ronhoward russellcrowe edharris jenniferconnelly christopherplummer"
Indiana Jones and the Last Crusade,1989,Adventure Action,English,Steven Spielberg,7.78,germany savingtheworld venice italy holygrail library riddle parentchildrelationship whip treasure nazi entrapment crusader father treasurehunt escape tank orderofthetemplars desert archaeologist indianajones archeology\xa0 1930s adventureaction stevenspielberg harrisonford seanconnery denholmelliott alisondoody
To All the Boys Ive Loved Before,2018,Comedy Romance,English,Susan Johnson,7.78,basedonnovelorbook highschool romance firstlove lostmother womandirector youngadult sisterhood pretendrelationship loveletters basedonyoungadultnovel comedyromance susanjohnson lanacondor noahcentineo janelparrish annacathcart
Spotlight,2015,Drama Thriller History,English,Tom McCarthy,7.78,childabuse journalism newspaper judge florida boston massachusetts pedophilia sexscandal victim court cover-up basedonatruestory priest conspiracy lawyer catholic catholicchurch lgbt catholicism archdiocese investigativejournalism cardinal dramathrillerhistory tommccarthy markruffalo michaelkeaton rachelmcadams lievschreiber
Snatch,2000,Thriller Crime,English,Guy Ritchie,7.78,england gypsy gambling bareknuckleboxing slang robbery trailerpark antwerp boxer pig violence undergroundfighting cultfilm diamondheist pikey thrillercrime guyritchie jasonstatham bradpitt stephengraham vinniejones
The Nightmare Before Christmas,1993,Fantasy Animation Family,English,Henry Selick,7.78,"holiday fire santaclaus magic halloween skeleton musical christmastree woods stopmotion pumpkin jackolantern savingchristmas christmas fantasyanimationfamily henryselick chrissarandon dannyelfman ""catherineohara"" williamhickey"
The Breakfast Club,1985,Comedy Drama,English,John Hughes,7.78,highschool tardyhall student teenager detention 1980s comedydrama johnhughes anthonymichaelhall mollyringwald emilioestevez juddnelson
Papillon,1973,Crime Drama,English,Franklin J. Schaffner,7.77,"prison prisonescape jungle solitaryconfinement basedonmemoirorautobiography laborcamp ""devilsisland"" prisonbrutality guyana 1930s crimedrama franklinj.schaffner stevemcqueen dustinhoffman victorjory dongordon"
Big Fish,2003,Adventure Fantasy Drama,English,Tim Burton,7.77,"circus witch parentchildrelationship fish fishing ""loveofoneslife"" leech storyteller apoplecticstroke fair mermaid cancer relationship youth gentlegiant adventurefantasydrama timburton ewanmcgregor albertfinney alisonlohman jessicalange"
Amarcord,1973,Comedy Drama,Italian,Federico Fellini,7.77,smalltown fascism sheik surrealism comingofage ruralarea bathtub semiautobiographical 1930s comedydrama federicofellini brunozanin armandobrancia pupellamaggio giuseppeianigro
The Boy in the Striped Pajamas,2008,War Drama,English,Mark Herman,7.77,basedonnovelorbook nationalism concentrationcamp worldwarii gaschamber nazi concentrationcampprisoner childreninwartime wardrama markherman asabutterfield jackscanlon verafarmiga davidthewlis
Dancer in the Dark,2000,Drama Crime,English,Lars von Trier,7.77,individual dancing robbery factoryworker secret smalltown blindnessandimpairedvision immigrant eyeoperation naivety hereditarydisease dyinganddeath debt policeofficer dramacrime larsvontrier björk catherinedeneuve davidmorse peterstormare
"Love, Rosie",2014,Comedy Romance,English,Christian Ditter,7.77,basedonnovelorbook friendship bestfriend teenagepregnancy friendsinlove missedopportunity comedyromance christianditter lilycollins samclaflin christiancooke tamsinegerton
Brokeback Mountain,2005,Drama Romance,English,Ang Lee,7.77,countryside homophobia wyoming intolerance marriagecrisis secretlove cowboy lgbt starcrossedlovers closetedhomosexual gaylove dramaromance anglee heathledger jakegyllenhaal michellewilliams annehathaway
Shoplifters,2018,Drama Crime,Japanese,Hirokazu Kore-eda,7.77,secret familyrelationships familydrama tokyo japan poverty orphan shoplifting socialrealism shoplifter pettycrimes asianorigins dramacrime hirokazukoreeda lilyfranky sakuraando mayumatsuoka jyokairi
Mr Smith Goes to Washington,1939,Comedy Drama,English,Frank Capra,7.77,washingtond.c. senate senator sightseeing governor politician idealist dam camp conservative disillusionment politicalcorruption integrity usapolitics determination filibuster walkout politicalmachine smearcampaign expulsionattempt comedydrama frankcapra jamesstewart jeanarthur clauderains edwardarnold
Monty Python and the Holy Grail,1975,Adventure Comedy Fantasy,English,Terry Gilliam,7.76,holygrail monk england scotlandyard swordplay camelot roundtable chapter animalattack satire knight kingarthur weddingreception midnightmovie cultfilm montypython knightsoftheroundtable anarchiccomedy adventurecomedyfantasy terrygilliam grahamchapman johncleese ericidle terrygilliam
Mulholland Drive,2001,Thriller Drama Mystery,English,David Lynch,7.76,schizophrenia identity amnesia lossofsenseofreality suppressedpast trauma key bisexuality hallucination surreal jobinterview casting losangeles california neo-noir thrillerdramamystery davidlynch naomiwatts lauraharring justintheroux annmiller
The Circus,1928,Comedy Romance,English,Charlie Chaplin,7.76,circus blackandwhite silentfilm employeremployeerelationship charliechaplin comedyromance charliechaplin charliechaplin alernestgarcia mernakennedy harrycrocker
In the Name of the Father,1993,Drama,English,Jim Sheridan,7.76,bomb prison basedonnovelorbook parentchildrelationship 1970s biography faith trial rebellion torture terrorism courtroom drama jimsheridan danieldaylewis petepostlethwaite emmathompson johnlynch
Mustang,2015,Drama,Turkish,Deniz Gamze Ergüven,7.76,siblingrelationship arrangedmarriage sexism turkey gang teenagegirl femaleprotagonist sexualviolence violence teenagesexuality womandirector drama denizgamzeergüven güneşneziheşensoy doğazeynepdoğuşlu eliti̇şcan tuğbasunguroğlu
The Untouchables,1987,Crime Drama History Thriller,English,Brian De Palma,7.76,chicago usa prohibitionera baseballbat whitesuit alcapone toughcop treasuryagent untouchable taxevasion jurytampering 1930s crimedramahistorythriller briandepalma kevincostner seanconnery charlesmartinsmith andygarcía
The Cove,2009,Documentary,English,Louie Psihoyos,7.76,japan ocean dolphin nationalism suffering dyinganddeath whaling expose fishingboat activist cove documentary louiepsihoyos joechisholm mandyraecruikshank charleshambleton simonhutchins
Whisper of the Heart,1995,Animation Drama Family,Japanese,Yoshifumi Kondou,7.76,italy library cat dream writing education book violin love train highschoolstudent violinmaker grade anime animationdramafamily yoshifumikondou yokohonna isseytakahashi takashitachibana shigerumuroi
120 Beats Per Minute,2017,Drama,French,Robin Campillo,7.76,paris france aids europe laboratory lgbt cure pharmaceuticals 1990s drama robincampillo nahuelpérezbiscayart arnaudvalois adèlehaenel antoinereinartz
Like Stars on Earth,2007,Drama,Hindi,Aamir Khan,7.76,painter jealousy parentchildrelationship father boardingschool dyslexia littleboy teacher india childhood teachersandstudents drama aamirkhan darsheelsafary aamirkhan tiscachopra vipinsharma
Network,1976,Drama,English,Sidney Lumet,7.76,newyorkcity corruption adultery television profit power tvratings satire murder corporate reporter co-workerrelationship tvshowinfilm meeting tvnews news fired network anchor rant tvnewsanchor drama sidneylumet fayedunaway williamholden peterfinch robertduvall
La Strada,1954,Drama,Italian,Federico Fellini,7.76,circus prison inlovewithenemy authority harleydavidson sadness wave dyinganddeath rageandhate unsociability roadtrip single revenge drama federicofellini anthonyquinn giuliettamasina richardbasehart aldosilvani
LA Confidential,1997,Crime Thriller,English,Curtis Hanson,7.75,corruption detective shotgun domesticviolence corpse districtattorney moviestar goodcopbadcop callgirl neo-noir 1950s crimethriller curtishanson kevinspacey russellcrowe guypearce jamescromwell
When Marnie Was There,2014,Animation Drama,Japanese,Hiromasa Yonebayashi,7.75,friendship imaginaryfriend flashback photograph younggirl anime personaldiary animationdrama hiromasayonebayashi saratakatsuki kasumiarimura nanakomatsushima susumuterajima
Monty Pythons Life of Brian,1979,Comedy,English,Terry Jones,7.75,jewry romanempire threekings crucifixion bethlehem independencemovement satire religion sermononthemount cultfilm anarchiccomedy comedy terryjones grahamchapman johncleese terrygilliam ericidle
Pride,2014,Drama Comedy,English,Matthew Warchus,7.75,basedonatruestory lgbt 1980s activism minersstrike dramacomedy matthewwarchus billnighy imeldastaunton dominicwest paddyconsidine
Warrior,2011,Drama Action,English,"""Gavin OConnor""",7.75,"bank training beating mixedmartialarts teacher muscleman combat alcoholic gym exercise dramaaction ""gavinoconnor"" joeledgerton tomhardy jennifermorrison frankgrillo"
Night and Fog,1955,History Documentary War,French,Alain Resnais,7.75,germany destructionofacivilization polen worldwarii prisonerofwar auschwitz-birkenauconcentrationcamp nazi independentfilm nazigermany torture short historydocumentarywar alainresnais michelbouquet reinhardheydrich heinrichhimmler adolfhitler
Annie Hall,1977,Comedy Drama Romance,English,Woody Allen,7.75,newyorkcity tennis cocaine narration jew/jewish neurosis comedian jobinterview sports love romanticcomedy singer breakingthefourthwall talkingtotheaudience volkswagenbeetle lobster comedydramaromance woodyallen woodyallen dianekeaton tonyroberts carolkane
Into the Forest of Fireflies Light,2011,Romance Animation Fantasy,Japanese,Takahiro Omori,7.75,supernatural sliceoflife basedonmanga spirit folklore japanesemythology anime romanceanimationfantasy takahiroomori ayanesakura koukiuchiyama shinpachitsuji hayatotaya
Solaris,1972,Drama Science Fiction Mystery,Russian,Andrei Tarkovsky,7.75,1970s lossofsenseofreality extraterrestrialtechnology sovietunion subconsciousness hallucination spacetravel astronaut dramasciencefictionmystery andreitarkovsky donatasbanionis natalyabondarchuk jürijärvet anatoliysolonitsyn
Notorious,1946,Thriller Drama Romance,English,Alfred Hitchcock,7.75,poison loveatfirstsight marriageproposal undercover patriotism riodejaneiro winecellar fbi atomicbomb staircase nazi daughter noir espionage millionaire intoxication thrillerdramaromance alfredhitchcock ingridbergman carygrant clauderains leopoldinekonstantin
Short Term 12,2013,Drama,English,Destin Daniel Cretton,7.74,childabuse parentchildrelationship suicideattempt socialworker pregnancy violence parole incest fosterchild troubledteen fostercare grouphome carehome basedonshortfilm drama destindanielcretton brielarson johngallagherjr. kaitlyndever ramimalek
Midnight Sun,2018,Romance Drama,English,Scott Speer,7.74,seattle sunlight terminalillness singer bestfriend homeschooling teenager deadmother swimming teenagedaughter railwaystation boyfriendgirlfriend athleticscholarship protectivefather teenageromance busker raredisease medicalproblem romancedrama scottspeer bellathorne patrickschwarzenegger robriggle quinnshephard
Miracle in Cell No 7,2013,Drama Comedy,Korean,Lee Hwan-kyung,7.74,parentchildrelationship prisoncell wrongfulimprisonment mentallychallenged dramacomedy leehwankyung ryuseungryong parkshinhye kalsowon ohdalsu
Rosemarys Baby,1968,Horror Drama Mystery,English,Roman Polanski,7.74,anti-christ laundry occult demonicpossession sataniccult luckycharm womaninjeopardy eatingdisorder catholicpriest horrordramamystery romanpolanski miafarrow johncassavetes ruthgordon sidneyblackmer
Tomorrow Everything Starts,2016,Drama Comedy,French,Hugo Gélin,7.74,london england singleparent parentchildrelationship stuntman remake children parenting singlefather lying absentparent frenchmanabroad dramacomedy hugogélin omarsy clémencepoésy antoinebertrand gloriacolston
Downfall,2004,Drama History War,German,Oliver Hirschbiegel,7.74,berlin germany poison dictator basedonnovelorbook clerk ideology worldwarii traitor despair destroy nazi testament capitulation sovietmilitary racepolitics nationalsocialism ultimatevictory minister nationalsocialistparty dyinganddeath historicalfigure germanshepherd 1940s hitler adolfhitler dramahistorywar oliverhirschbiegel brunoganz alexandramarialara corinnaharfouch ulrichmatthes
Nights of Cabiria,1957,Drama,Italian,Federico Fellini,7.74,rome italy optimism house poverty prostitution madonna heartbreak rescuefromdrowning ostiaitaly moviestarshrine shrine hypnotist railwaystation starving accountant drama federicofellini giuliettamasina françoispérier francamarzi amedeonazzari
Deep Red,1975,Horror Mystery Thriller,Italian,Dario Argento,7.74,murder reporter whodunit psychic pianist psychologicalhorror foreign proto-slasher horrormysterythriller darioargento davidhemmings darianicolodi gabrielelavia machaméril
Kikis Delivery Service,1989,Animation Adventure Drama Fantasy Family,Japanese,Hayao Miyazaki,7.74,clocktower witch cat bicycleaccident broom femalefriendship bakery comingofage dog baking seasidetown talkingcat courierservice deliveryservice anime animationadventuredramafantasyfamily hayaomiyazaki minamitakayama reisakuma kappeiyamaguchi keikotoda
Dont Look Now: Were Being Shot At,1966,Comedy War,French,Gérard Oury,7.74,paris france worldwarii british paratroops frenchresistance farce cultfilm nazioccupation 1940s comedywar gérardoury bourvil louisdefunès terrythomas claudiobrook
Wild Tales,2014,Drama Thriller Comedy,Spanish,Damián Szifron,7.73,revenge weddingparty roadrage dramathrillercomedy damiánszifron ricardodarín oscarmartínez leonardosbaraglia éricarivas
Before Sunset,2004,Drama Romance,English,Richard Linklater,7.73,"paris france journalist talking soulmates walking bookshop ""loveofoneslife"" author dramaromance richardlinklater ethanhawke juliedelpy vernondobtcheff louiselemoinetorrès"
Blackfish,2013,Documentary,English,Gabriela Cowperthwaite,7.73,whale killerwhale seaworld animaltrainer womandirector documentary gabrielacowperthwaite deangomersall samanthaberg johnjett johnhargrove
A Special Day,1977,Drama Romance,Italian,Ettore Scola,7.73,rome italy fascism housewife benitomussolini malehomosexuality neighbor 1930s dramaromance ettorescola sophialoren marcellomastroianni johnvernon françoiseberd
The Best Offer,2013,Drama Romance Crime Mystery,English,Giuseppe Tornatore,7.73,painting auctioneer confidencegame fineart honeypot dramaromancecrimemystery giuseppetornatore geoffreyrush jimsturgess sylviahoeks donaldsutherland
Carlitos Way,1993,Crime Thriller,English,Brian De Palma,7.73,prison 1970s puertorican releasefromprison criminalpast love nightclub violence drugs disco neo-noir crimethriller briandepalma alpacino seanpenn penelopeannmiller johnleguizamo
"Blood In, Blood Out",1993,Action Crime Drama Thriller,English,Taylor Hackford,7.73,streetgang ghetto juvenileprison artist jail eastlosangeles hood gang youthgang racism drugs mexicanamerican barrio policeshootout cholo lowrider actioncrimedramathriller taylorhackford damianchapa jesseborrego benjaminbratt enriquecastillo
The Cabinet of Dr Caligari,1920,Drama Horror Thriller Crime,German,Robert Wiene,7.73,insaneasylum blackandwhite silentfilm unreliablenarrator expressionism somnambulist unreliableflashback megalomania madman somnambulism germanexpressionism dramahorrorthrillercrime robertwiene wernerkrauss conradveidt friedrichfehér lildagover
Porco Rosso,1992,Comedy Animation Adventure,Japanese,Hayao Miyazaki,7.73,italy beach fascism mediterranean transformation singer warhero airpirate anime ghibli comedyanimationadventure hayaomiyazaki shûichirômoriyama tokikokatô sanshikatsura tsunehikokamijô
The Wind Rises,2013,Animation War History Drama Romance,Japanese,Hayao Miyazaki,7.72,japan flying worldwarii earthquake airplane biography greatdepression love tuberculosis anime animationwarhistorydramaromance hayaomiyazaki hideakianno mioritakimoto hidetoshinishijima masahikonishimura
Dog Day Afternoon,1975,Crime Drama Thriller,English,Sidney Lumet,7.72,newyorkcity bank hostage fbi asthma police sexchange bankrobbery brooklyn newyorkcity lgbt bankcashier carprocession attica unhappymarriage basedonmagazine newspaperorarticle crimedramathriller sidneylumet alpacino johncazale charlesdurning chrissarandon
Ben-Hur,1959,Adventure History Drama,English,William Wyler,7.72,jew/jewish roman prince chariotrace jerusalem israel ancientrome governor politics epic friends remake revenge galley seabattle galleyslave 1stcentury adventurehistorydrama williamwyler charltonheston jackhawkins hayaharareet stephenboyd
Dogville,2003,Crime Drama Thriller,English,Lars von Trier,7.72,rape bondage refugee mountain villagelife blackmail americandream bankrobber mountainvillage exploitation rockymountains womanmartyr physicalwork wantedposter forcedlabour lastjudgment slavery recession friendship police hoodlum crimedramathriller larsvontrier nicolekidman harrietandersson laurenbacall jeanmarcbarr
Divines,2016,Drama,French,Houda Benyamina,7.72,paris france streetgang dancer ghetto friendship drugs drama houdabenyamina oulayaamamra déborahlukumuena kévinmischel jiscakalvanda
Prayers for Bobby,2009,Drama History TV Movie,English,Russell Mulcahy,7.71,christianity suicide basedonnovelorbook parentchildrelationship homophobia comingout intolerance basedonatruestory grief malehomosexuality religion tragicevent lgbt deathofson lgbtactivist religiousintolerance deathofalovedone gay dramahistorytvmovie russellmulcahy ryankelley sigourneyweaver henryczerny danbutler
Awakenings,1990,Drama,English,Penny Marshall,7.71,coma basedonnovelorbook experiment miracle hope basedonatruestory hospital illness womandirector comatose drama pennymarshall robertdeniro robinwilliams johnheard juliekavner
Wings of Desire,1987,Drama Fantasy Romance,German,Wim Wenders,7.71,berlin germany angel circus berlinwall library dream immortality history mortality dramafantasyromance wimwenders brunoganz solveigdommartin ottosander curtbois
Non essere cattivo,2015,Crime Drama,Italian,Claudio Caligari,7.7,"italy robbery ecstasy cocaine heroin friendship flashback shottodeath drugs transsexual 1990s crimedrama claudiocaligari lucamarinelli alessandroborghi ""silviadamicobendico"" robertamattei"
Sunrise: A Song of Two Humans,1927,Drama Romance,English,F.W. Murnau,7.7,lovetriangle adultery lake countrylife plannedmurder indiansummer pig marriagecrisis ruralarea redemption storm city silentfilm farmer troubledmarriage dramaromance f.w.murnau georgeo’brien janetgaynor margaretlivingston bodilrosing
La Jetée,1962,Romance Science Fiction,French,Chris Marker,7.7,paris france dejavu nuclearwar airport experiment museum radioaktivity parisorly timetravel survival nouvellevague short romancesciencefiction chrismarker jeannégroni hélènechatelain davoshanich jacquesledoux
The Normal Heart,2014,Drama,English,Ryan Murphy,7.7,newyorkcity aids hiv malehomosexuality basedonplayormusical epidemic gayclub lgbt fireisland 1980s drama ryanmurphy markruffalo jimparsons mattbomer juliaroberts
Feast,2014,Animation Comedy Drama Family,English,Patrick Osborne,7.7,cake romance food dog organicfood icecream fastfood healthfood short animationcomedydramafamily patrickosborne tommysnider katielowes benbledsoe stephenapostolina
The Postman,1994,Comedy Drama Romance,Italian,Michael Radford,7.7,island letter postman naples italy fisherman poet love poverty comedydramaromance michaelradford philippenoiret massimotroisi mariagraziacucinotta renatoscarpa
It Happened One Night,1934,Comedy Romance,English,Frank Capra,7.7,miami florida newspaper marriage reporter blackandwhite screwballcomedy socialite pre-code basedonshortstory screwball hitchhiking richgirl brat comedyromance frankcapra clarkgable claudettecolbert walterconnolly roscoekarns
Umberto D,1952,Drama,Italian,Vittorio De Sica,7.7,rome italy servant hunger despair retiree unsociability pension rent oldman hospital dog landlady elderly neorealism italianneorealism drama vittoriodesica carlobattisti mariapiacasilio linagennari elenarea
I Saw the Devil,2010,Thriller Horror,Korean,Kim Jee-woon,7.7,cemetery policechief secretagent psychopath revenge murder darkcomedy serialkiller severedhead mercilessness cannibalism thrillerhorror kimjeewoon leebyunghun choiminsik jeonkukhwan cheonhojin
The Avengers,2012,Science Fiction Action Adventure,English,Joss Whedon,7.69,newyorkcity shield superhero basedoncomic alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse sciencefictionactionadventure josswhedon robertdowneyjr. chrisevans markruffalo chrishemsworth
The Girl Who Leapt Through Time,2006,Fantasy Animation Drama Science Fiction,Japanese,Mamoru Hosoda,7.69,timetravel love surrealism sliceoflife teenagegirl school student schoolgirl teenageromance pudding anime fantasyanimationdramasciencefiction mamoruhosoda riisanaka takuyaishida mitsutakaitakura fumihikotachiki
Hunt for the Wilderpeople,2016,Adventure Comedy Drama,English,Taika Waititi,7.69,countryside basedonnovelorbook newzealand wilderness delinquent wildboar dog fosterfamily nature adventurecomedydrama taikawaititi samneill juliandennison rimatewiata rachelhouse
Mary and Max,2009,Animation Comedy Drama,English,Adam Elliot,7.69,"chocolate letter birthmark onlychild approach australia bullying friendshipbracelet penpals atheist loneliness stopmotion neighbor phonebook unlikelyfriendship correspondence eatingdisorder ""aspergerssyndrome"" animationcomedydrama adamelliot tonicollette philipseymourhoffman ericbana barryhumphries"
The Dark Knight Rises,2012,Action Crime Drama Thriller,English,Christopher Nolan,7.69,dccomics crimefighter terrorist secretidentity burglar hostage timebomb vigilante cover-up superhero basedoncomic villainess tragichero terrorism destruction criminalunderworld catwoman catburglar imax flood actioncrimedramathriller christophernolan christianbale michaelcaine garyoldman annehathaway
The King of Comedy,1983,Comedy Drama,English,Martin Scorsese,7.69,prison showbusiness entertainer fbi blackmail public studio receptionist comedydrama martinscorsese robertdeniro jerrylewis diahnneabbott sandrabernhard
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Adventure Fantasy Action,English,Gore Verbinski,7.69,exoticisland blacksmith eastindiatradingcompany gold marriageproposal mutiny jamaica skeleton daughter governor woodeneye goldcoin pirate alcoholic swashbuckler caribbeansea aftercreditsstinger pirateship capuchinmonkey tortuga adventurefantasyaction goreverbinski johnnydepp geoffreyrush orlandobloom keiraknightley
Batman Begins,2005,Action Crime Drama,English,Christopher Nolan,7.69,lossoflovedone martialarts dccomics crimefighter secretidentity undercover vigilante superhero basedoncomic rivalry tragichero ninja superpower hauntedbythepast evildoctor mastervillain fightingcrime unfulfilledlove actioncrimedrama christophernolan christianbale michaelcaine liamneeson katieholmes
Harry Potter and the Chamber of Secrets,2002,Adventure Fantasy,English,Chris Columbus,7.69,flyingcar witch magic childhero broom schoolofwitchcraft giantspider giantsnake blackmagic childdrivingcar aftercreditsstinger basedonyoungadultnovel wizardingworld adventurefantasy chriscolumbus danielradcliffe rupertgrint emmawatson richardharris
The Martian,2015,Drama Adventure Science Fiction,English,Ridley Scott,7.69,basedonnovelorbook planetmars nasa isolation spacecraft botanist stranded space engineering survival astronaut struggleforsurvival science duringcreditsstinger deepspace dramaadventuresciencefiction ridleyscott mattdamon jessicachastain kristenwiig jeffdaniels
Harry Potter and the Order of the Phoenix,2007,Adventure Fantasy Mystery,English,David Yates,7.69,prophecy witch lossoflovedone magic childhero dyinganddeath broom schoolofwitchcraft blackmagic sorcery supernatural occult mysticalland basedonyoungadultnovel wizardingworld adventurefantasymystery davidyates danielradcliffe rupertgrint emmawatson michaelgambon
Captain America: The Winter Soldier,2014,Action Adventure Science Fiction,English,Anthony Russo,7.69,washingtond.c. future shield superhero basedoncomic aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d politicalthriller actionadventuresciencefiction anthonyrusso chrisevans samuell.jackson scarlettjohansson robertredford
Harry Potter and the Half-Blood Prince,2009,Adventure Fantasy,English,David Yates,7.69,witch magic broom schoolofwitchcraft apparition teenagecrush werewolf wizard basedonyoungadultnovel wizardingworld adventurefantasy davidyates danielradcliffe rupertgrint emmawatson tomfelton
The Dinner Game,1998,Comedy,French,Francis Veber,7.69,fool taxinspector comedy francisveber thierrylhermitte jacquesvilleret francishuster danielprévost
The Incredibles,2004,Action Adventure Animation Family,English,Brad Bird,7.69,secretidentity secret hero island wretch weapon lawsuit superhero superpower actionadventureanimationfamily bradbird craigt.nelson hollyhunter samuell.jackson jasonlee
Freedom Writers,2007,Crime Drama,English,Richard LaGravenese,7.69,blackpeople basedonnovelorbook holocaust(shoah) ghetto diary principalwitness biography daughter highschool racialsegregation annefrank schoolexcursion idealism violenceinschools basedonatruestory racialtension gangviolence crimedrama richardlagravenese hilaryswank scottglenn imeldastaunton patrickdempsey
Zootopia,2016,Animation Adventure Family Comedy,English,Byron Howard,7.69,allegory lion hippopotamus fox elephant sheep polarbear bullying moose revenge conspiracy conartist urban femaleprotagonist cheetah anthropomorphism rabbit animal rookiecop missingperson racialprejudice injustice reconciliation ram stereotype badger discrimination 3d policewoman yak africanbuffalo gazelle three-toedsloth arcticshrew africanelephant honeybadger indianelephant blackjaguar fennecfox blackrhinoceros nine-bandedarmadillo animationadventurefamilycomedy byronhoward ginnifergoodwin jasonbateman idriselba jennyslate
Paprika,2006,Animation Drama Mystery Science Fiction Thriller,Japanese,Satoshi Kon,7.69,japan dream procession psychoanalysis research madscientist dreamgirl parallelworld dreamworld anime animationdramamysterysciencefictionthriller satoshikon megumihayashibara tōrufuruya kouichiyamadera katsunosukehori
